dataset,alpha,method,round,mean_percent,sample_sd_percent,n_seeds
bloodmnist,0.5,fedavg,1,7.807797016059317,8.509580173688388,3
bloodmnist,0.5,fedavg,15,49.96295002940357,9.364986565148843,3
bloodmnist,0.5,fedavg,30,59.30127622100892,9.765935200656426,3
bloodmnist,0.5,fedavg,45,61.18370375292366,9.806694734550973,3
bloodmnist,0.5,fedavg,60,67.22706451550192,6.663807191937521,3
bloodmnist,0.5,fedavg,75,70.75534326844165,6.690278222117066,3
bloodmnist,0.5,fedavg,90,56.00693215460592,25.89428134676322,3
bloodmnist,0.5,fedavg,105,61.124129447145826,24.222537753759717,3
bloodmnist,0.5,fedavg,120,68.6241461487774,11.842855964750237,3
bloodmnist,0.5,fedavg,135,64.98797422557499,6.946074983071598,3
bloodmnist,0.5,fedavg,150,62.24455366345553,23.97074267718844,3
bloodmnist,0.5,fedavg,165,76.17367599497848,5.151102238466557,3
bloodmnist,0.5,fedavg,180,77.5775992931665,3.0548602545879895,3
bloodmnist,0.5,fedavg,195,79.27692924501797,2.200772030282861,3
bloodmnist,0.5,fedavg,210,79.4876988683364,3.844954147587967,3
bloodmnist,0.5,fedavg,225,77.38711929402403,1.3655410571748308,3
bloodmnist,0.5,fedavg,240,77.55765965121019,4.665322225329523,3
bloodmnist,0.5,fedavg,255,78.90928267970033,3.1456614447151807,3
bloodmnist,0.5,fedavg,270,79.53465452821617,3.3133004290386125,3
bloodmnist,0.5,fedavg,285,79.64640748676923,2.670893991075156,3
bloodmnist,0.5,fedavg,300,79.4042359182541,2.419384116487208,3
bloodmnist,0.5,fedpac,1,7.962415446506516,8.554266183458914,3
bloodmnist,0.5,fedpac,15,46.19557846490057,3.1112239881386294,3
bloodmnist,0.5,fedpac,30,56.61133296206908,7.644122633770989,3
bloodmnist,0.5,fedpac,45,60.4753185154733,8.468394874113734,3
bloodmnist,0.5,fedpac,60,61.91193124158281,11.182401882229525,3
bloodmnist,0.5,fedpac,75,64.96195526375041,7.185583493341585,3
bloodmnist,0.5,fedpac,90,59.18433183469133,12.357836684484637,3
bloodmnist,0.5,fedpac,105,66.59695494582921,11.643121388541408,3
bloodmnist,0.5,fedpac,120,65.61973836670387,11.480749814229119,3
bloodmnist,0.5,fedpac,135,68.22600539715822,11.431257644704255,3
bloodmnist,0.5,fedpac,150,62.05555142855306,23.341896678015704,3
bloodmnist,0.5,fedpac,165,70.40032820670255,10.214514616944177,3
bloodmnist,0.5,fedpac,180,75.94750382240946,4.298795705619136,3
bloodmnist,0.5,fedpac,195,78.60333310372764,5.00166008405882,3
